"Save and Continue Edit","Save and Continue Edit"
"Edit Category ""%1""","Edit Category ""%1"""
"New Category","New Category"
General,General
Name,Name
Status,Status
Description,Description
"Store View(s)","Store View(s)"
"--- Please Select ---","--- Please Select ---"
"Customer Group(s)","Customer Group(s)"
"Sort Order","Sort Order"
"Default is 0. The one with the smallest order will display first.","Default is 0. The one with the smallest order will display first."
"Category Information","Category Information"
"Wrap History synchronization has been completed.","Wrap History synchronization has been completed."
"Edit Gift Wrap ""%1""","Edit Gift Wrap ""%1"""
"New Gift Wrap","New Gift Wrap"
Price,Price
Amount,Amount
Image,Image
"Quantity Limit","Quantity Limit"
"Item number can be in a gift wrap. If empty or zero, no limitation.","Item number can be in a gift wrap. If empty or zero, no limitation."
"Wrap Type","Wrap Type"
Category,Category
"Wrap Information","Wrap Information"
"Postcard Information","Postcard Information"
Postcard,Postcard
"Gift Wrap","Gift Wrap"
"The category has been deleted.","The category has been deleted."
"We can't delete the category right now.","We can't delete the category right now."
"We can't find a category to delete.","We can't find a category to delete."
"This category no longer exists.","This category no longer exists."
"View Category #%1","View Category #%1"
"Create New Wrap Category","Create New Wrap Category"
"Manage Wrap Categories","Manage Wrap Categories"
"Please correct the data sent.","Please correct the data sent."
"name value must not be empty.","name value must not be empty."
"Something went wrong while saving the category.","Something went wrong while saving the category."
"Something went wrong while deleting the record(s).","Something went wrong while deleting the record(s)."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Something went wrong while updating the record(s) status.","Something went wrong while updating the record(s) status."
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"The category has been saved.","The category has been saved."
"Manage Wrapping Orders","Manage Wrapping Orders"
"The gift wrap has been deleted.","The gift wrap has been deleted."
"We can't delete the gift wrap right now.","We can't delete the gift wrap right now."
"We can't find a gift wrap to delete.","We can't find a gift wrap to delete."
"This gift wrap no longer exists.","This gift wrap no longer exists."
"Create New Gift Wrapper","Create New Gift Wrapper"
"Create New Postcard","Create New Postcard"
"View Gift Wrap #%1","View Gift Wrap #%1"
"View Postcard #%1","View Postcard #%1"
"Manage Gift Wrappers","Manage Gift Wrappers"
"Something went wrong while saving the wrap.","Something went wrong while saving the wrap."
"The %1 has been saved.","The %1 has been saved."
"No Histories to synchronize.","No Histories to synchronize."
Others,Others
"Invalid Gift Wrap. Please reload page and try again!","Invalid Gift Wrap. Please reload page and try again!"
"Gift Wrap (All Cart)","Gift Wrap (All Cart)"
"Gift Postcard (All Cart)","Gift Postcard (All Cart)"
"Gift Note (All Cart)","Gift Note (All Cart)"
"Gift Message (All Cart)","Gift Message (All Cart)"
"Gift Postcard","Gift Postcard"
"Gift Note","Gift Note"
"Gift Message","Gift Message"
"The entity that was requested doesn't exist. Verify the entity and try again.","The entity that was requested doesn't exist. Verify the entity and try again."
"The module is disabled","The module is disabled"
"We don't have enough wrappers to use for this item qty.","We don't have enough wrappers to use for this item qty."
"Cannot apply gift wrap for the item due to the configuration in admin panel.","Cannot apply gift wrap for the item due to the configuration in admin panel."
"Cannot apply gift wrap for the whole cart due to the configuration in admin panel.","Cannot apply gift wrap for the whole cart due to the configuration in admin panel."
"Shopping Cart Page","Shopping Cart Page"
"Checkout Page","Checkout Page"
"Mageplaza One Step Checkout","Mageplaza One Step Checkout"
Fixed,Fixed
"By Qty","By Qty"
Enable,Enable
Disable,Disable
"Per Item","Per Item"
"Per Cart","Per Cart"
Both,Both
"Gift Wrapping","Gift Wrapping"
"""name"" must not be empty","""name"" must not be empty"
"""status"" must be either 1 (Enabled) or 2 (Disabled)","""status"" must be either 1 (Enabled) or 2 (Disabled)"
"""sort order"" must be a valid number","""sort order"" must be a valid number"
"""price type"" must be either 1 (Fixed) or 2 (By Qty)","""price type"" must be either 1 (Fixed) or 2 (By Qty)"
"""amount"" must be a valid number","""amount"" must be a valid number"
"Gift Wrap (%1% tax)","Gift Wrap (%1% tax)"
"Postcard (%1% tax)","Postcard (%1% tax)"
Syncing...,Syncing...
"Wrapper: ","Wrapper: "
"Gift Note: ","Gift Note: "
"Postcard: ","Postcard: "
"Message: ","Message: "
"Add Gift Note (","Add Gift Note ("
Remove,Remove
Save,Save
Cancel,Cancel
"Gift Wrap All Cart","Gift Wrap All Cart"
"Postcard All Cart","Postcard All Cart"
"Gift Message: ","Gift Message: "
"Add Gift Message (","Add Gift Message ("
"Top 30 ","Top 30 "
"Top ","Top "
"Add Gift Wrap","Add Gift Wrap"
"Select <b>Yes</b> to enable this module.","Select <b>Yes</b> to enable this module."
"Add Gift Wrap Button Label","Add Gift Wrap Button Label"
"Change Gift Wrap Button Label","Change Gift Wrap Button Label"
"Tax Class","Tax Class"
"Gift Wrap Icon","Gift Wrap Icon"
"Find more icons <a href=""https://www.flaticon.com/search?word=gift"" target=""_blank"">here</a>","Find more icons <a href=""https://www.flaticon.com/search?word=gift"" target=""_blank"">here</a>"
"Gift Wrap Type","Gift Wrap Type"
"Per Item: Apply gift wrap for each item in the cart.<br/>Per Cart: Apply gift wrap for the whole cart.<br/>Both: Allow customers to add gift wrap for either each item or the whole cart.","Per Item: Apply gift wrap for each item in the cart.<br/>Per Cart: Apply gift wrap for the whole cart.<br/>Both: Allow customers to add gift wrap for either each item or the whole cart."
"Notice to Customers","Notice to Customers"
"Gift Wrap on Product View Page","Gift Wrap on Product View Page"
"Select <b>Yes</b> to Gift Wrap on Product View Page.","Select <b>Yes</b> to Gift Wrap on Product View Page."
"Enable Note","Enable Note"
"Max Characters","Max Characters"
"If zero or empty, default ""120"" characters will be used.","If zero or empty, default ""120"" characters will be used."
"Gift Note Fee","Gift Note Fee"
"The fee for greeting cards attached with the gifts.","The fee for greeting cards attached with the gifts."
"Show Gift Note Under Items On","Show Gift Note Under Items On"
"Install <a href=""https://www.mageplaza.com/magento-2-one-step-checkout-extension/?utm_source=mageplaza&utm_medium=mageplaza&utm_campaign=mageplaza-review&utm_content=One%20Step%20Checkout"" target=""_blank"">Mageplaza One Step Checkout</a> to display gift messages on One Step Checkout Page.","Install <a href=""https://www.mageplaza.com/magento-2-one-step-checkout-extension/?utm_source=mageplaza&utm_medium=mageplaza&utm_campaign=mageplaza-review&utm_content=One%20Step%20Checkout"" target=""_blank"">Mageplaza One Step Checkout</a> to display gift messages on One Step Checkout Page."
"Show Report Gift Wrappers","Show Report Gift Wrappers"
"All Store Views","All Store Views"
"Store View","Store View"
Delete,Delete
"Are you sure to delete selected items?","Are you sure to delete selected items?"
"Change Status","Change Status"
ID,ID
"Customer Groups","Customer Groups"
"Store Views","Store Views"
"Created At","Created At"
"Updated At","Updated At"
Edit,Edit
Customer,Customer
"Order ID","Order ID"
"Order Status","Order Status"
"Product List","Product List"
"Order Date","Order Date"
"Add New","Add New"
"Create New Gift Wrap","Create New Gift Wrap"
"Price Type","Price Type"
Type,Type
